年份,月份,區域別總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
83,1,9962,1172,983,600,882,913,1160,270,211,331,696,342,471,344,526,191,285,53,194,177,134,24,3
83,2,9458,1051,905,617,812,901,1099,280,186,321,618,311,499,361,488,205,272,68,180,160,100,22,2
83,3,10933,1283,1147,725,999,998,1173,282,257,327,710,354,529,382,567,252,292,78,211,172,155,38,2
83,4,10068,1134,1056,603,861,906,1155,257,209,343,661,327,506,405,603,203,280,71,152,172,124,39,1
83,5,9499,1078,974,626,868,834,1178,256,210,253,601,300,496,308,532,214,231,70,181,145,110,33,1
83,6,8761,1038,859,560,786,799,1001,263,184,274,580,288,409,309,493,192,236,58,157,141,103,30,1
83,7,8948,1023,858,545,808,834,1087,234,162,272,546,292,451,325,526,205,263,61,190,123,107,34,2
83,8,9326,1068,934,570,832,905,1080,249,179,307,591,315,438,353,546,184,235,66,195,116,140,20,3
83,9,8876,1026,835,569,744,860,1044,234,166,252,591,286,460,350,562,166,258,53,152,131,106,27,4
83,10,8768,991,841,526,794,842,1014,243,201,251,537,299,437,375,516,193,236,50,156,125,113,25,3
83,11,9809,1170,909,587,885,942,1143,267,218,305,605,325,487,336,553,232,289,67,184,148,120,34,3
83,12,9458,1100,944,519,859,904,1132,247,182,300,593,333,476,335,540,197,281,56,175,143,113,26,3
84,1,10253,1121,959,635,891,957,1139,260,222,330,694,371,498,369,605,221,352,72,198,161,167,28,3
84,2,11816,1377,1128,739,1082,1140,1381,301,257,348,796,381,595,429,621,232,352,60,192,207,160,35,3
84,3,11095,1233,1101,724,1023,1023,1218,300,255,374,741,382,542,395,613,235,286,69,215,191,142,32,1
84,4,10071,1117,1070,662,939,913,1109,264,216,329,627,299,514,362,547,185,272,89,226,170,134,26,1
84,5,9923,1131,1043,650,894,938,1129,269,227,317,641,294,508,325,528,196,270,62,183,149,138,28,3
84,6,9345,1119,934,584,840,934,1039,228,185,286,604,287,420,355,522,207,260,49,190,150,123,28,1
84,7,9323,1041,925,581,830,862,1139,236,207,281,592,295,448,353,512,214,243,65,180,164,128,25,2
84,8,9068,1075,875,599,786,879,1110,230,187,261,574,288,424,296,514,215,253,56,141,141,118,42,4
84,9,9110,1078,908,532,803,892,1060,250,203,268,601,291,443,302,545,209,238,63,155,125,114,26,4
84,10,8859,1025,920,535,780,824,1074,235,202,263,599,291,406,329,526,175,262,50,135,112,95,19,2
84,11,10073,1220,962,607,876,925,1195,265,229,327,665,328,491,351,581,217,251,59,199,155,135,30,5
84,12,10176,1150,984,640,916,970,1156,271,228,345,679,344,523,364,588,186,299,63,169,139,135,23,4
85,1,11448,1297,1098,698,1044,1123,1341,300,242,378,755,377,582,434,639,231,295,79,194,166,145,27,3
85,2,9644,1092,939,559,882,865,1173,238,210,300,619,345,484,375,573,209,280,61,162,149,99,21,9
85,3,10861,1240,1088,674,996,1001,1198,262,238,380,737,371,549,376,596,211,286,62,228,191,145,31,1
85,4,11200,1328,1150,740,997,999,1315,325,226,355,782,354,564,364,573,233,297,71,188,163,141,29,6
85,5,10486,1223,1129,675,963,993,1173,273,232,297,675,335,461,362,614,225,286,63,172,181,129,23,2
85,6,9453,1107,938,552,827,871,1169,251,199,263,633,325,470,329,555,207,240,67,176,149,101,22,2
85,7,10696,1167,1089,615,950,1049,1274,251,238,349,636,370,549,395,659,248,290,60,190,147,139,29,2
