年份,月份,區域別總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
83,1,6166,751,581,394,528,554,736,174,132,192,399,217,261,197,338,124,201,34,128,122,83,17,3
83,2,5891,660,589,393,516,553,699,174,108,172,370,187,297,208,295,133,202,40,107,106,69,11,2
83,3,6831,837,734,461,638,612,751,174,152,201,418,235,296,220,347,178,196,44,125,103,88,19,2
83,4,6278,750,650,394,545,538,711,151,142,204,416,211,295,244,359,138,195,41,102,96,68,27,1
83,5,5894,687,582,415,544,499,726,152,136,138,357,196,309,166,341,147,156,38,125,89,70,21,0
83,6,5500,670,521,374,529,453,642,158,111,155,353,177,256,191,309,133,167,36,103,94,52,15,1
83,7,5639,654,550,368,487,504,691,150,110,166,344,180,252,209,327,141,180,34,125,78,65,22,2
83,8,5832,689,563,394,501,560,688,147,104,187,359,202,266,209,360,128,168,34,116,70,74,11,2
83,9,5547,667,523,362,484,514,641,145,104,163,348,177,275,207,346,120,169,30,106,85,63,15,3
83,10,5400,594,516,343,463,520,648,147,130,161,314,169,256,234,320,134,168,30,98,82,58,14,1
83,11,6149,729,573,378,528,571,733,155,148,181,365,193,315,207,355,151,216,37,120,94,79,19,2
83,12,5922,736,577,347,519,555,700,153,105,177,366,204,282,206,329,136,207,37,116,88,69,11,2
84,1,6216,695,594,414,522,562,703,167,135,194,405,216,295,206,354,138,252,41,115,102,93,11,2
84,2,7243,877,691,479,655,684,862,199,144,196,457,234,334,262,376,155,244,36,117,128,91,19,3
84,3,6786,770,693,480,595,608,733,196,149,220,439,243,317,232,381,170,206,40,117,107,70,19,1
84,4,6202,700,674,457,553,528,679,167,121,201,401,185,292,209,334,127,186,56,141,100,77,13,1
84,5,6182,721,652,415,545,572,705,171,132,186,379,191,293,201,316,138,195,39,123,105,86,14,3
84,6,5877,721,554,379,519,574,670,145,114,165,388,198,234,213,321,142,186,37,130,96,74,16,1
84,7,5815,663,581,402,506,510,706,165,118,164,359,181,253,208,323,153,180,30,116,107,72,17,1
84,8,5746,716,538,396,509,542,717,135,113,165,340,186,249,178,325,151,171,28,97,88,78,21,3
84,9,5682,699,538,359,513,539,676,156,139,161,353,178,253,167,349,132,186,37,99,71,59,16,2
84,10,5595,657,577,357,493,484,697,155,120,152,362,190,248,222,318,121,187,32,89,67,58,8,1
84,11,6307,765,605,394,522,577,755,177,141,187,397,201,295,212,374,158,187,40,118,102,79,18,3
84,12,6251,744,623,401,562,601,668,179,139,200,400,202,307,210,381,126,208,32,92,80,80,12,4
85,1,7068,802,669,449,655,689,843,181,133,234,431,228,353,262,381,161,199,49,130,111,91,15,2
85,2,5994,693,595,336,532,515,746,143,137,175,383,204,291,226,377,138,207,29,101,89,63,9,5
85,3,6716,750,697,439,623,607,747,158,138,232,439,240,316,212,371,138,199,41,148,119,86,15,1
85,4,6906,852,712,494,602,613,838,191,126,216,445,205,343,201,344,154,205,39,126,96,89,12,3
85,5,6467,795,715,426,607,577,725,169,137,165,396,208,266,223,361,143,202,36,105,115,82,13,1
85,6,5922,731,614,373,507,531,747,149,126,151,371,195,284,191,347,146,145,35,115,96,54,12,2
85,7,6550,727,668,403,583,633,790,155,141,200,372,220,322,228,390,173,194,35,124,100,77,14,1
85,8,6301,747,601,426,517,621,782,166,130,191,388,204,275,222,350,160,173,33,112,120,66,14,3
85,9,5559,658,526,360,504,539,648,128,121,183,369,172,254,206,342,132,151,29,79,87,58,13,0
85,10,6097,760,564,421,577,571,687,159,118,172,385,194,262,223,323,144,173,38,112,119,77,16,2
85,11,6118,728,597,401,535,556,743,162,120,187,395,191,278,210,346,129,186,35,116,114,81,7,1
85,12,6492,800,620,437,579,577,759,164,151,196,424,188,320,241,348,144,192,37,111,97,93,12,2
86,1,6769,759,660,461,595,619,804,187,148,219,445,231,315,257,357,148,191,49,117,108,77,21,1
86,2,6052,672,596,397,579,553,743,167,123,188,394,205,264,216,329,124,180,35,122,90,53,21,1
86,3,6882,773,719,489,625,643,782,164,145,191,499,189,314,231,352,144,225,45,139,122,71,18,2
86,4,6314,776,628,410,556,571,746,179,141,196,382,193,289,215,376,154,182,39,107,91,66,16,1
86,5,6178,772,598,405,567,571,744,149,140,176,388,219,273,217,320,148,159,38,109,98,70,16,1
86,6,5672,654,574,379,556,519,633,150,120,171,367,158,255,192,334,142,172,25,103,80,73,14,1
86,7,6347,756,620,467,554,538,769,168,141,176,408,214,317,214,312,134,172,41,124,121,79,19,3
86,8,5875,662,591,395,512,567,662,141,134,193,392,189,274,215,342,114,182,40,88,99,65,16,2
86,9,6305,816,688,424,579,551,758,166,139,180,380,175,249,203,319,146,190,27,121,95,76,22,1
86,10,6200,738,614,429,580,512,747,146,146,182,386,196,302,229,360,133,191,31,112,87,69,9,1
86,11,5986,754,629,366,527,551,734,157,132,173,377,199,229,191,340,127,183,33,105,89,70,18,2
86,12,6646,822,620,443,607,642,781,177,127,206,411,213,278,254,370,154,187,46,130,97,67,11,3
87,1,5387,706,561,390,458,440,598,134,121,184,329,181,255,189,276,115,144,32,102,84,69,15,4
87,2,9065,1033,892,627,892,819,1004,233,204,301,555,321,410,339,492,191,272,53,165,140,92,30,0
87,3,7442,937,734,501,655,642,858,186,156,209,488,243,322,253,399,176,232,45,161,135,85,21,4
87,4,6336,770,606,404,590,592,740,155,130,185,415,202,312,207,376,135,185,37,116,101,62,14,2
87,5,5833,702,585,387,514,528,726,165,137,167,358,174,268,190,319,129,170,35,101,99,66,12,1
87,6,6030,718,572,390,572,571,708,177,123,142,383,190,287,211,357,134,152,24,122,106,78,12,1
87,7,6342,784,651,398,568,577,734,150,122,204,429,211,266,242,347,145,178,36,116,92,74,16,2
87,8,5990,683,610,380,528,508,763,161,124,172,398,201,258,197,360,137,185,34,109,90,78,12,2
87,9,5756,684,563,391,513,544,647,139,129,179,352,153,276,209,315,137,169,41,119,94,79,22,1
87,10,5967,676,596,406,505,554,743,164,127,182,401,191,237,231,338,134,157,43,115,93,56,16,2
87,11,5954,732,617,382,570,487,746,147,125,187,361,184,274,224,319,123,178,26,108,84,63,15,2
87,12,6498,808,640,443,545,619,781,152,147,197,390,196,285,240,358,135,194,52,119,100,80,15,2
88,1,6659,760,673,447,597,575,831,179,147,199,456,241,318,195,340,126,188,37,140,97,97,14,2
88,2,6007,698,599,396,544,528,777,151,129,191,350,211,250,195,349,139,156,29,112,114,73,13,3
88,3,7859,926,782,521,721,701,914,198,197,208,485,250,380,257,430,181,237,60,170,140,83,17,1
88,4,6745,781,720,490,572,594,757,174,168,181,436,220,310,219,349,154,223,36,139,122,77,22,1
88,5,6242,727,602,423,588,596,792,134,139,194,405,194,304,188,338,121,171,33,118,94,63,16,2
88,6,5994,768,621,421,537,555,712,152,133,178,378,192,255,200,302,104,149,34,116,93,72,20,2
88,7,6228,750,613,436,550,557,800,158,121,172,396,176,274,202,390,129,173,37,114,95,67,16,2
88,8,6233,720,620,383,530,573,795,156,117,178,387,190,320,216,373,127,194,41,119,106,70,16,2
88,9,6352,707,571,385,822,534,758,143,135,166,373,254,301,226,372,129,176,28,98,92,66,14,2
88,10,6571,776,688,412,772,525,721,144,126,181,384,407,306,195,346,107,158,35,90,101,76,17,4
88,11,6264,750,609,443,561,550,715,169,127,181,431,222,332,229,334,134,149,36,115,85,70,16,6
88,12,6919,886,696,463,604,646,818,196,142,214,451,221,333,209,373,115,176,32,121,128,79,15,1
89,1,7019,836,741,511,651,630,839,165,173,209,448,213,311,234,363,119,165,38,133,124,92,23,1
89,2,6578,745,610,415,598,636,756,173,133,220,461,233,330,236,369,115,156,44,123,131,78,13,3
89,3,7699,968,782,569,683,667,927,180,175,248,498,230,391,275,371,141,201,30,133,117,97,14,2
89,4,6401,762,626,458,593,549,722,167,141,218,413,195,300,215,330,144,166,45,141,119,84,11,2
89,5,6882,857,668,494,619,594,844,169,157,208,450,182,317,247,352,140,183,49,130,127,77,17,1
89,6,6216,755,644,438,577,508,757,155,126,186,405,178,290,218,338,104,176,39,106,117,74,21,4
89,7,6241,791,637,461,556,551,754,146,120,210,366,186,290,228,330,121,177,31,95,103,67,20,1
89,8,6076,744,609,450,538,573,757,176,136,166,343,196,264,187,313,128,169,37,109,101,63,13,4
89,9,6132,735,630,412,541,558,787,138,106,164,416,187,294,199,346,128,166,30,124,82,77,11,1
89,10,6291,809,662,431,570,503,712,167,149,211,403,208,253,230,350,114,146,41,134,96,83,16,3
89,11,6312,739,671,456,593,548,754,162,130,192,422,197,280,191,342,114,158,39,133,97,76,15,3
89,12,6376,774,651,418,603,589,764,173,124,197,392,199,303,220,324,134,168,26,126,95,74,22,0
90,1,6694,762,674,449,594,586,868,149,137,198,433,226,325,244,388,128,198,39,102,96,85,10,3
90,2,6980,889,748,536,627,598,811,180,148,223,431,211,333,224,356,151,168,34,119,107,72,13,1
90,3,7269,846,742,490,650,620,922,180,171,217,516,210,338,246,387,135,192,43,126,129,88,17,4
90,4,6661,808,650,505,602,568,806,144,163,225,400,226,292,193,366,128,195,39,136,117,85,12,1
90,5,6795,777,702,511,591,596,786,165,134,213,446,236,313,240,374,123,188,35,140,126,77,20,2
90,6,5991,705,633,392,538,543,723,154,143,165,400,200,245,197,327,133,163,26,110,107,69,14,4
90,7,6418,736,614,433,583,600,837,134,136,175,412,182,296,251,356,143,171,38,121,108,76,14,2
90,8,6651,793,742,406,624,579,798,164,140,199,390,239,305,242,350,114,189,43,156,84,83,10,1
90,9,5470,658,560,394,522,487,695,153,136,166,337,146,215,183,290,104,141,34,91,81,59,14,4
90,10,7033,849,747,494,640,601,843,205,159,198,449,209,316,248,401,135,164,45,119,99,91,16,5
90,11,6692,872,652,443,549,654,840,168,133,194,396,190,326,239,343,115,178,39,143,112,87,16,3
90,12,6665,828,677,434,575,605,816,157,156,188,418,216,289,235,388,137,187,41,113,102,75,23,5
91,1,7489,890,733,525,695,606,947,200,171,227,478,215,329,264,409,144,218,36,176,116,92,14,4
91,2,6298,775,645,462,528,615,754,129,127,179,386,183,312,211,323,139,180,42,108,98,80,20,2
91,3,7059,891,740,533,636,633,816,172,161,198,446,224,280,226,364,136,195,34,136,134,78,22,4
91,4,6605,834,674,471,631,572,812,156,153,198,410,195,317,224,327,106,164,39,121,108,76,16,1
91,5,6467,780,679,463,605,580,829,152,128,197,422,184,265,236,335,128,162,35,122,83,61,17,4
91,6,5983,780,593,382,534,550,767,170,129,198,345,184,273,181,326,117,147,34,106,86,65,15,1
91,7,7207,867,726,533,636,663,885,191,140,196,446,244,338,242,407,143,191,43,128,95,69,18,6
91,8,6642,794,656,446,616,605,860,163,138,195,383,189,287,257,387,129,170,35,133,101,75,21,2
91,9,6116,725,600,431,545,557,799,161,139,175,362,204,264,197,338,130,152,42,107,95,77,13,3
91,10,6578,743,710,427,600,591,847,150,136,198,430,198,312,232,364,119,165,38,127,101,68,17,5
91,11,6120,764,659,429,526,581,750,157,127,190,373,181,288,192,280,121,172,42,125,82,65,14,2
91,12,6784,813,719,498,612,636,856,160,133,219,416,196,299,230,340,133,153,44,120,106,81,19,1
92,1,6938,836,722,494,630,705,865,144,144,211,438,208,277,215,363,135,182,27,119,124,81,15,3
92,2,7033,859,691,514,652,602,905,185,140,195,450,187,305,242,378,130,189,39,128,124,95,22,1
92,3,7165,900,776,513,668,644,846,152,158,224,461,195,281,254,382,134,183,38,161,118,64,11,2
92,4,6927,891,702,537,622,601,829,174,148,222,416,217,277,218,390,105,186,31,142,121,72,23,3
92,5,6860,859,742,482,676,583,817,173,162,204,415,210,280,230,357,133,186,41,130,89,70,17,4
92,6,6457,767,750,441,564,563,814,155,146,172,369,197,308,199,393,121,158,42,121,96,69,11,1
92,7,6833,878,712,474,643,608,847,151,144,187,422,212,295,222,364,139,177,29,126,91,88,23,1
92,8,5820,760,616,374,524,545,758,136,108,147,382,169,258,184,282,116,143,29,116,87,67,16,3
92,9,6522,826,654,430,614,582,810,152,129,187,394,197,316,209,379,128,143,46,135,92,81,15,3
92,10,6578,870,636,478,622,572,811,153,125,181,407,212,280,228,375,129,175,30,127,78,74,14,1
92,11,5909,751,571,424,574,539,746,141,126,168,376,194,244,196,332,84,145,31,94,98,60,14,1
92,12,7342,885,732,531,658,668,921,156,144,221,454,222,326,254,417,147,201,51,140,117,75,14,8
93,1,6942,811,699,492,652,617,903,174,119,222,412,226,326,234,383,137,178,46,143,78,73,15,2
93,2,7962,1032,780,585,719,684,982,166,182,250,447,258,379,296,395,127,205,63,150,133,99,27,3
93,3,7820,950,812,553,744,684,934,198,166,219,483,246,350,267,415,152,198,49,148,129,98,23,2
93,4,7003,866,700,515,679,614,799,151,150,204,463,223,325,225,398,148,143,31,132,120,90,23,4
93,5,6429,779,681,447,588,522,835,148,166,191,372,203,278,211,372,113,154,41,119,114,76,17,2
93,6,6494,817,658,490,620,543,802,159,134,189,379,194,274,239,341,127,148,43,128,99,98,8,4
93,7,6627,874,690,480,624,604,757,154,121,216,387,193,279,220,373,116,168,41,123,99,83,23,2
93,8,6722,776,618,460,650,662,877,171,141,213,410,200,270,210,377,132,196,44,129,88,72,25,1
93,9,6703,808,709,472,599,649,834,145,147,204,387,202,339,236,355,138,148,29,120,92,70,17,3
93,10,6730,811,697,476,587,588,839,141,160,204,429,209,315,241,386,121,162,39,127,119,57,20,2
93,11,7105,912,732,491,677,616,924,148,153,200,411,202,328,259,375,126,193,36,116,104,84,15,3
93,12,7159,844,729,560,653,616,908,154,147,202,464,235,320,233,388,142,191,34,129,112,76,18,4
94,1,7496,965,733,553,691,653,882,174,168,231,455,223,347,258,419,125,193,35,161,130,73,25,2
94,2,6417,829,634,502,601,553,802,119,149,197,341,192,269,224,366,116,188,30,127,90,70,15,3
94,3,8981,1100,954,699,826,868,1035,190,189,267,544,273,388,293,490,157,193,40,185,148,111,26,5
94,4,7060,866,700,569,636,627,870,136,151,208,459,200,285,248,385,116,208,33,138,114,83,24,4
94,5,7406,898,767,515,698,704,922,202,147,226,434,210,338,238,390,113,178,35,155,123,87,20,6
94,6,6847,881,718,496,596,608,859,178,161,209,407,205,262,239,358,130,153,35,132,109,82,26,3
94,7,6941,831,727,488,636,656,909,134,148,203,423,186,307,247,391,137,165,32,117,94,81,28,1
94,8,7475,922,748,519,651,677,1010,179,161,245,448,218,321,246,419,126,196,47,131,102,88,18,3
94,9,7012,841,714,476,636,618,908,168,147,188,465,215,309,221,357,147,190,43,143,121,73,27,5
94,10,6745,860,674,467,664,618,832,178,143,189,385,184,313,213,384,128,178,25,109,101,82,17,1
94,11,6983,909,766,462,669,639,846,163,149,210,360,194,306,259,377,146,171,30,115,108,86,15,3
94,12,7415,915,759,541,706,638,923,155,165,203,464,212,349,285,374,151,186,36,131,112,91,16,3
95,1,6804,843,700,476,632,632,853,168,163,206,419,199,295,238,359,124,163,33,110,107,65,19,0
95,2,7665,979,761,540,766,727,949,172,136,236,452,221,342,270,383,119,190,45,150,106,92,26,3
95,3,8125,1046,823,552,787,739,999,193,181,250,490,226,362,283,426,130,207,53,135,138,79,19,7
