年份,月份,區域別總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
83,1,3796,421,402,206,354,359,424,96,79,139,297,125,210,147,188,67,84,19,66,55,51,7,0
83,2,3567,391,316,224,296,348,400,106,78,149,248,124,202,153,193,72,70,28,73,54,31,11,0
83,3,4102,446,413,264,361,386,422,108,105,126,292,119,233,162,220,74,96,34,86,69,67,19,0
83,4,3790,384,406,209,316,368,444,106,67,139,245,116,211,161,244,65,85,30,50,76,56,12,0
83,5,3605,391,392,211,324,335,452,104,74,115,244,104,187,142,191,67,75,32,56,56,40,12,1
83,6,3261,368,338,186,257,346,359,105,73,119,227,111,153,118,184,59,69,22,54,47,51,15,0
83,7,3309,369,308,177,321,330,396,84,52,106,202,112,199,116,199,64,83,27,65,45,42,12,0
83,8,3494,379,371,176,331,345,392,102,75,120,232,113,172,144,186,56,67,32,79,46,66,9,1
83,9,3329,359,312,207,260,346,403,89,62,89,243,109,185,143,216,46,89,23,46,46,43,12,1
83,10,3368,397,325,183,331,322,366,96,71,90,223,130,181,141,196,59,68,20,58,43,55,11,2
83,11,3660,441,336,209,357,371,410,112,70,124,240,132,172,129,198,81,73,30,64,54,41,15,1
83,12,3536,364,367,172,340,349,432,94,77,123,227,129,194,129,211,61,74,19,59,55,44,15,1
84,1,4037,426,365,221,369,395,436,93,87,136,289,155,203,163,251,83,100,31,83,59,74,17,1
84,2,4573,500,437,260,427,456,519,102,113,152,339,147,261,167,245,77,108,24,75,79,69,16,0
84,3,4309,463,408,244,428,415,485,104,106,154,302,139,225,163,232,65,80,29,98,84,72,13,0
84,4,3869,417,396,205,386,385,430,97,95,128,226,114,222,153,213,58,86,33,85,70,57,13,0
84,5,3741,410,391,235,349,366,424,98,95,131,262,103,215,124,212,58,75,23,60,44,52,14,0
84,6,3468,398,380,205,321,360,369,83,71,121,216,89,186,142,201,65,74,12,60,54,49,12,0
84,7,3508,378,344,179,324,352,433,71,89,117,233,114,195,145,189,61,63,35,64,57,56,8,1
84,8,3322,359,337,203,277,337,393,95,74,96,234,102,175,118,189,64,82,28,44,53,40,21,1
84,9,3428,379,370,173,290,353,384,94,64,107,248,113,190,135,196,77,52,26,56,54,55,10,2
84,10,3264,368,343,178,287,340,377,80,82,111,237,101,158,107,208,54,75,18,46,45,37,11,1
84,11,3766,455,357,213,354,348,440,88,88,140,268,127,196,139,207,59,64,19,81,53,56,12,2
84,12,3925,406,361,239,354,369,488,92,89,145,279,142,216,154,207,60,91,31,77,59,55,11,0
85,1,4380,495,429,249,389,434,498,119,109,144,324,149,229,172,258,70,96,30,64,55,54,12,1
85,2,3650,399,344,223,350,350,427,95,73,125,236,141,193,149,196,71,73,32,61,60,36,12,4
85,3,4145,490,391,235,373,394,451,104,100,148,298,131,233,164,225,73,87,21,80,72,59,16,0
85,4,4294,476,438,246,395,386,477,134,100,139,337,149,221,163,229,79,92,32,62,67,52,17,3
85,5,4019,428,414,249,356,416,448,104,95,132,279,127,195,139,253,82,84,27,67,66,47,10,1
85,6,3531,376,324,179,320,340,422,102,73,112,262,130,186,138,208,61,95,32,61,53,47,10,0
85,7,4146,440,421,212,367,416,484,96,97,149,264,150,227,167,269,75,96,25,66,47,62,15,1
85,8,3774,441,403,200,343,373,452,89,84,115,268,142,178,119,200,75,79,30,66,56,51,10,0
85,9,3338,364,325,170,317,334,392,77,68,100,232,116,176,148,203,57,72,28,47,53,44,15,0
85,10,3552,386,394,203,349,301,401,88,78,117,229,106,192,136,213,60,88,24,62,64,45,14,2
85,11,3496,419,349,195,302,309,443,88,73,117,265,118,173,128,172,65,86,25,64,46,49,8,2
85,12,3974,428,411,207,358,391,452,94,81,140,294,142,213,160,213,63,105,35,63,61,54,8,1
86,1,4147,473,425,235,422,429,435,106,99,148,295,140,212,159,221,57,95,33,55,52,43,13,0
86,2,3827,414,357,222,330,392,449,117,94,145,260,138,195,147,224,52,85,23,64,63,45,10,1
86,3,4378,478,432,267,449,420,500,94,89,112,309,157,244,154,248,68,86,30,81,79,60,19,2
86,4,3900,439,407,245,327,381,427,103,95,145,282,131,196,161,215,47,81,19,78,67,31,22,1
86,5,3613,402,374,217,291,362,425,80,59,117,255,114,199,114,230,79,83,16,55,74,51,15,1
86,6,3466,399,385,191,307,369,388,88,77,112,228,111,187,125,188,57,68,16,58,59,39,12,2
86,7,3879,415,392,197,399,376,442,98,92,122,284,130,217,159,214,57,81,27,74,39,50,12,2
86,8,3658,388,434,200,365,308,421,92,88,131,246,121,182,142,214,63,78,19,63,43,48,10,2
86,9,3729,399,414,246,344,360,422,86,70,97,263,134,176,150,204,70,90,25,69,46,52,11,1
86,10,3716,410,402,242,347,370,435,87,79,132,269,102,178,152,199,50,71,18,64,56,45,8,0
86,11,3446,397,373,210,329,331,398,105,73,98,229,90,185,137,162,51,87,29,56,52,42,11,1
86,12,4015,449,427,207,383,371,428,105,92,152,293,139,231,149,238,63,79,27,69,51,48,13,1
87,1,3350,390,362,172,292,324,355,88,82,107,231,121,175,142,196,47,63,25,57,68,47,6,0
87,2,5566,599,496,333,551,543,628,139,127,205,418,186,289,218,329,87,113,29,85,93,81,17,0
